step,upright,speed,reward,skill_name,fault_active
0,1.0,0.054,0.4482,walk_forward,False
1,1.0,0.2216,0.3055,walk_forward,False
2,0.9999,0.4483,0.1477,walk_forward,False
3,0.9996,0.6386,0.0202,walk_forward,False
4,0.999,0.7906,0.0,walk_forward,False
5,0.9978,0.9098,0.0,walk_forward,False
6,0.9963,1.026,0.0,walk_forward,False
7,0.9944,1.1205,0.0,walk_forward,False
8,0.9919,1.1494,0.0,walk_forward,False
9,0.9888,1.0778,0.0,walk_forward,False
10,0.9852,0.9511,0.0,walk_forward,False
11,0.9819,0.7931,0.0,walk_forward,False
12,0.9792,0.6448,0.0183,walk_forward,False
13,0.9776,0.504,0.1071,walk_forward,False
14,0.9768,0.365,0.1963,walk_forward,False
15,0.9769,0.2543,0.2549,walk_forward,False
16,0.9779,0.1701,0.3271,walk_forward,False
17,0.9791,0.1149,0.4018,walk_forward,False
18,0.9801,0.1065,0.4426,walk_forward,False
19,0.9816,0.0838,0.466,walk_forward,False
20,0.9827,0.0674,0.505,walk_forward,False
21,0.9838,0.1116,0.5018,walk_forward,False
22,0.9853,0.1473,0.4995,walk_forward,False
23,0.9869,0.1376,0.5177,walk_forward,False
24,0.9883,0.1488,0.5154,walk_forward,False
25,0.9897,0.1696,0.5042,walk_forward,False
26,0.9909,0.1481,0.5308,walk_forward,False
27,0.992,0.1275,0.5475,walk_forward,False
28,0.9928,0.1332,0.5326,walk_forward,False
29,0.9935,0.1223,0.5381,walk_forward,False
30,0.9943,0.1121,0.5591,walk_forward,False
31,0.9951,0.1465,0.562,walk_forward,False
32,0.9961,0.2055,0.5423,walk_forward,False
33,0.9972,0.2396,0.5551,walk_forward,False
34,0.9981,0.2515,0.5721,walk_forward,False
35,0.9989,0.2736,0.5714,walk_forward,False
36,0.9994,0.2592,0.5845,walk_forward,False
37,0.9998,0.2482,0.6185,walk_forward,False
38,1.0,0.2457,0.6319,walk_forward,False
39,1.0,0.2412,0.6351,walk_forward,False
40,1.0,0.1984,0.6468,walk_forward,False
41,1.0,0.0966,0.5936,walk_forward,False
42,1.0,0.1267,0.5442,walk_forward,False
43,0.9999,0.2886,0.5213,walk_forward,False
44,0.9993,0.3936,0.5078,walk_forward,False
45,0.998,0.4168,0.4728,walk_forward,False
46,0.9961,0.4323,0.477,walk_forward,False
47,0.9935,0.4304,0.5056,walk_forward,False
48,0.9904,0.3549,0.4887,walk_forward,False
49,0.9876,0.2772,0.4733,walk_forward,False
50,0.9852,0.2432,0.5238,walk_forward,False
51,0.9836,0.139,0.523,walk_forward,False
52,0.9828,0.0255,0.5052,walk_forward,False
53,0.983,0.0612,0.5351,walk_forward,False
54,0.9836,0.0932,0.5436,walk_forward,False
55,0.9845,0.1125,0.5216,walk_forward,False
56,0.9854,0.1064,0.5378,walk_forward,False
57,0.9863,0.09,0.5195,walk_forward,False
58,0.9871,0.0817,0.5067,walk_forward,False
59,0.9877,0.0655,0.508,walk_forward,False
60,0.9883,0.0509,0.4978,walk_forward,False
61,0.989,0.0624,0.5099,walk_forward,False
62,0.9899,0.0861,0.4865,walk_forward,False
63,0.9909,0.1042,0.4724,walk_forward,False
64,0.9919,0.1,0.4788,walk_forward,False
65,0.9928,0.1082,0.4701,walk_forward,False
66,0.9936,0.1013,0.4744,walk_forward,False
67,0.9943,0.0821,0.4857,walk_forward,False
68,0.9949,0.0738,0.4849,walk_forward,False
69,0.9954,0.0653,0.4852,walk_forward,False
70,0.9958,0.0646,0.4874,walk_forward,False
71,0.9965,0.088,0.487,walk_forward,False
72,0.9972,0.1482,0.463,walk_forward,False
73,0.998,0.1965,0.4453,walk_forward,False
74,0.9988,0.2107,0.448,walk_forward,False
75,0.9993,0.2073,0.4603,walk_forward,False
76,0.9997,0.2008,0.4805,walk_forward,False
77,0.9999,0.1864,0.5005,walk_forward,False
78,1.0,0.163,0.5304,walk_forward,False
79,1.0,0.1528,0.5555,walk_forward,False
80,0.9999,0.129,0.5773,walk_forward,False
81,0.9999,0.0389,0.5388,walk_forward,False
82,1.0,0.1615,0.5004,walk_forward,False
83,0.9999,0.3137,0.4936,walk_forward,False
84,0.9993,0.3839,0.4614,walk_forward,False
85,0.998,0.4351,0.4512,walk_forward,False
86,0.996,0.4673,0.4854,walk_forward,False
87,0.9933,0.415,0.4813,walk_forward,False
88,0.9904,0.3421,0.4529,walk_forward,False
89,0.9876,0.3097,0.5034,walk_forward,False
90,0.985,0.2255,0.5243,walk_forward,False
91,0.9833,0.1155,0.518,walk_forward,False
92,0.9828,0.0303,0.519,walk_forward,False
93,0.9829,0.08,0.5597,walk_forward,False
94,0.9836,0.114,0.5231,walk_forward,False
95,0.9845,0.1239,0.5466,walk_forward,False
96,0.9855,0.1036,0.5422,walk_forward,False
97,0.9864,0.1007,0.5059,walk_forward,False
98,0.9871,0.0892,0.5089,walk_forward,False
99,0.9878,0.0638,0.5174,walk_forward,False
100,0.9884,0.0515,0.495,walk_forward,False
101,0.9891,0.0711,0.5034,walk_forward,False
102,0.9899,0.0889,0.4897,walk_forward,False
103,0.991,0.1018,0.4762,walk_forward,False
104,0.9919,0.1063,0.4746,walk_forward,False
105,0.9929,0.1155,0.4675,walk_forward,False
106,0.9937,0.1005,0.4784,walk_forward,False
107,0.9944,0.0833,0.487,walk_forward,False
108,0.995,0.081,0.4824,walk_forward,False
109,0.9954,0.0685,0.4867,walk_forward,False
110,0.9959,0.0639,0.4915,walk_forward,False
111,0.9965,0.0926,0.4868,walk_forward,False
112,0.9973,0.1576,0.4564,walk_forward,False
113,0.9981,0.194,0.4546,walk_forward,False
114,0.9988,0.2149,0.4559,walk_forward,False
