step,upright,speed,reward,skill_name,fault_active,reconnect_active
0,1.0,0.0307,0.4953,flat_ground_walk_forward,False,False
1,1.0,0.0935,0.4862,flat_ground_walk_forward,False,False
2,1.0,0.0753,0.4724,flat_ground_walk_forward,False,False
3,1.0,0.0603,0.4583,flat_ground_walk_forward,False,False
4,1.0,0.1004,0.4499,flat_ground_walk_forward,False,False
5,1.0,0.1907,0.4231,flat_ground_walk_forward,False,False
6,1.0,0.2137,0.3774,flat_ground_walk_forward,False,False
7,1.0,0.224,0.3227,flat_ground_walk_forward,False,False
8,1.0,0.248,0.3116,flat_ground_walk_forward,False,False
9,1.0,0.2963,0.3072,flat_ground_walk_forward,False,False
10,1.0,0.3164,0.2815,flat_ground_walk_forward,False,False
11,1.0,0.2771,0.2994,flat_ground_walk_forward,False,False
12,1.0,0.2883,0.3183,flat_ground_walk_forward,False,False
13,1.0,0.3081,0.2854,flat_ground_walk_forward,False,False
14,1.0,0.1936,0.4084,flat_ground_walk_forward,False,False
15,1.0,0.0863,0.5659,flat_ground_walk_forward,False,False
16,1.0,0.049,0.4876,flat_ground_walk_forward,False,False
17,1.0,0.108,0.4729,flat_ground_walk_forward,False,False
18,1.0,0.1079,0.5084,flat_ground_walk_forward,False,False
19,1.0,0.03,0.4821,flat_ground_walk_forward,False,False
20,1.0,0.0618,0.5085,flat_ground_walk_forward,False,False
21,1.0,0.077,0.5323,flat_ground_walk_forward,False,False
22,1.0,0.0845,0.4982,flat_ground_walk_forward,False,False
23,1.0,0.047,0.4934,flat_ground_walk_forward,False,False
24,1.0,0.0206,0.5198,flat_ground_walk_forward,False,False
25,1.0,0.0596,0.5066,flat_ground_walk_forward,False,False
26,1.0,0.0719,0.491,flat_ground_walk_forward,False,False
27,1.0,0.0228,0.5076,flat_ground_walk_forward,False,False
28,1.0,0.0189,0.5088,flat_ground_walk_forward,False,False
29,1.0,0.0483,0.4942,flat_ground_walk_forward,False,False
30,1.0,0.0563,0.5015,flat_ground_walk_forward,False,False
31,1.0,0.0212,0.5062,flat_ground_walk_forward,False,False
32,1.0,0.0092,0.4975,flat_ground_walk_forward,False,False
33,1.0,0.0391,0.5,flat_ground_walk_forward,False,False
34,1.0,0.044,0.5035,flat_ground_walk_forward,False,False
35,1.0,0.0177,0.499,flat_ground_walk_forward,False,False
36,1.0,0.0116,0.5,flat_ground_walk_forward,False,False
37,1.0,0.0302,0.5027,flat_ground_walk_forward,False,False
38,1.0,0.0345,0.4999,flat_ground_walk_forward,False,False
39,1.0,0.0168,0.4999,flat_ground_walk_forward,False,False
40,1.0,0.0315,0.5029,flat_ground_walk_forward,False,False
41,1.0,0.0915,0.5022,flat_ground_walk_forward,False,False
42,1.0,0.1197,0.5035,flat_ground_walk_forward,False,False
43,1.0,0.1982,0.5022,flat_ground_walk_forward,False,False
44,1.0,0.329,0.4985,flat_ground_walk_forward,False,False
45,1.0,0.4715,0.4979,flat_ground_walk_forward,False,False
46,1.0,0.5956,0.4976,flat_ground_walk_forward,False,False
47,1.0,0.687,0.4989,flat_ground_walk_forward,False,False
48,1.0,0.7376,0.5026,flat_ground_walk_forward,False,False
49,1.0,0.7459,0.5043,flat_ground_walk_forward,False,False
50,1.0,0.7257,0.5065,flat_ground_walk_forward,False,False
51,1.0,0.6749,0.5078,flat_ground_walk_forward,False,False
52,1.0,0.6039,0.5073,flat_ground_walk_forward,False,False
53,1.0,0.5047,0.5125,flat_ground_walk_forward,False,False
54,1.0,0.4085,0.5111,flat_ground_walk_forward,False,False
55,1.0,0.3057,0.5115,flat_ground_walk_forward,False,False
56,1.0,0.2021,0.5148,flat_ground_walk_forward,False,False
57,1.0,0.1186,0.5113,flat_ground_walk_forward,False,False
58,1.0,0.0469,0.5177,flat_ground_walk_forward,False,False
59,1.0,0.0263,0.5113,flat_ground_walk_forward,False,False
60,1.0,0.0557,0.5079,flat_ground_walk_forward,False,False
61,1.0,0.0628,0.5103,flat_ground_walk_forward,False,False
62,1.0,0.0599,0.5002,flat_ground_walk_forward,False,False
63,1.0,0.0583,0.5009,flat_ground_walk_forward,False,False
64,1.0,0.0418,0.5006,flat_ground_walk_forward,False,False
65,1.0,0.0217,0.493,flat_ground_walk_forward,False,False
66,1.0,0.0094,0.4972,flat_ground_walk_forward,False,False
67,1.0,0.0055,0.4949,flat_ground_walk_forward,False,False
68,1.0,0.0234,0.4914,flat_ground_walk_forward,False,False
69,1.0,0.0278,0.4971,flat_ground_walk_forward,False,False
70,1.0,0.0273,0.4936,flat_ground_walk_forward,False,False
71,1.0,0.0312,0.4939,flat_ground_walk_forward,False,False
72,1.0,0.0326,0.4989,flat_ground_walk_forward,False,False
73,1.0,0.0295,0.495,flat_ground_walk_forward,False,False
74,1.0,0.0238,0.4979,flat_ground_walk_forward,False,False
75,1.0,0.0212,0.5005,flat_ground_walk_forward,False,False
76,1.0,0.0209,0.497,flat_ground_walk_forward,False,False
77,1.0,0.0152,0.5012,flat_ground_walk_forward,False,False
78,1.0,0.0106,0.5012,flat_ground_walk_forward,False,False
79,1.0,0.0113,0.4987,flat_ground_walk_forward,False,False
80,1.0,0.0556,0.5026,flat_ground_walk_forward,False,False
81,1.0,0.2458,0.5021,flat_ground_walk_forward,False,False
82,1.0,0.4718,0.5027,flat_ground_walk_forward,False,False
83,1.0,0.6961,0.5037,flat_ground_walk_forward,False,False
84,1.0,0.91,0.5038,flat_ground_walk_forward,False,False
85,1.0,1.0724,0.4946,flat_ground_walk_forward,False,False
86,1.0,1.1389,0.4858,flat_ground_walk_forward,False,False
87,1.0,1.1608,0.486,flat_ground_walk_forward,False,False
88,1.0,0.5897,0.4631,flat_ground_walk_forward,False,False
89,1.0,0.4998,0.4758,flat_ground_walk_forward,False,False
90,1.0,0.4482,0.5004,flat_ground_walk_forward,False,False
91,1.0,0.2773,0.5012,flat_ground_walk_forward,False,False
92,1.0,0.0684,0.5086,flat_ground_walk_forward,False,False
93,0.9999,0.1492,0.5058,flat_ground_walk_forward,False,False
94,0.9999,0.3057,0.5081,flat_ground_walk_forward,False,False
95,0.9999,0.5357,0.5088,flat_ground_walk_forward,False,False
96,0.9999,0.562,0.4404,flat_ground_walk_forward,False,False
97,1.0,0.4103,0.2969,flat_ground_walk_forward,False,False
98,1.0,0.0792,0.4654,flat_ground_walk_forward,False,False
99,1.0,0.2004,0.6086,flat_ground_walk_forward,False,False
100,1.0,0.0706,0.4956,flat_ground_walk_forward,False,False
101,1.0,0.1243,0.5075,flat_ground_walk_forward,False,False
102,1.0,0.2354,0.4589,flat_ground_walk_forward,False,False
103,1.0,0.0882,0.4501,flat_ground_walk_forward,False,False
104,1.0,0.0791,0.5544,flat_ground_walk_forward,False,False
105,1.0,0.0309,0.5166,flat_ground_walk_forward,False,False
106,1.0,0.1165,0.4787,flat_ground_walk_forward,False,False
107,1.0,0.071,0.5436,flat_ground_walk_forward,False,False
108,1.0,0.0461,0.5004,flat_ground_walk_forward,False,False
109,1.0,0.0366,0.4703,flat_ground_walk_forward,False,False
110,1.0,0.0911,0.5205,flat_ground_walk_forward,False,False
111,1.0,0.0499,0.4891,flat_ground_walk_forward,False,False
112,1.0,0.0264,0.48,flat_ground_walk_forward,False,False
113,1.0,0.0302,0.5174,flat_ground_walk_forward,False,False
114,1.0,0.0707,0.4948,flat_ground_walk_forward,False,False
115,1.0,0.0368,0.4909,flat_ground_walk_forward,False,False
116,1.0,0.0249,0.5144,flat_ground_walk_forward,False,False
117,1.0,0.0131,0.4997,flat_ground_walk_forward,False,False
118,1.0,0.0526,0.4941,flat_ground_walk_forward,False,False
119,1.0,0.0316,0.5061,flat_ground_walk_forward,False,False
120,1.0,0.0444,0.5008,flat_ground_walk_forward,False,False
121,1.0,0.1043,0.4986,flat_ground_walk_forward,False,False
122,1.0,0.117,0.5041,flat_ground_walk_forward,False,False
123,1.0,0.1956,0.5002,flat_ground_walk_forward,False,False
124,1.0,0.3275,0.4975,flat_ground_walk_forward,False,False
125,1.0,0.4687,0.497,flat_ground_walk_forward,False,False
126,1.0,0.5919,0.4953,flat_ground_walk_forward,False,False
127,1.0,0.6847,0.4983,flat_ground_walk_forward,False,False
128,1.0,0.7367,0.5007,flat_ground_walk_forward,False,False
129,1.0,0.7447,0.5022,flat_ground_walk_forward,False,False
130,1.0,0.7259,0.5035,flat_ground_walk_forward,False,False
131,1.0,0.6743,0.5043,flat_ground_walk_forward,False,False
132,1.0,0.6027,0.504,flat_ground_walk_forward,False,False
133,1.0,0.5059,0.5078,flat_ground_walk_forward,False,False
134,1.0,0.4065,0.5059,flat_ground_walk_forward,False,False
135,1.0,0.3073,0.5093,flat_ground_walk_forward,False,False
136,1.0,0.2014,0.5101,flat_ground_walk_forward,False,False
137,1.0,0.1165,0.5089,flat_ground_walk_forward,False,False
138,1.0,0.0454,0.5138,flat_ground_walk_forward,False,False
139,1.0,0.0218,0.5071,flat_ground_walk_forward,False,False
140,1.0,0.0547,0.5073,flat_ground_walk_forward,False,False
141,1.0,0.065,0.5077,flat_ground_walk_forward,False,False
142,1.0,0.059,0.499,flat_ground_walk_forward,False,False
143,1.0,0.0569,0.502,flat_ground_walk_forward,False,False
144,1.0,0.0446,0.4993,flat_ground_walk_forward,False,False
145,1.0,0.0225,0.4939,flat_ground_walk_forward,False,False
146,1.0,0.0089,0.4988,flat_ground_walk_forward,False,False
147,1.0,0.0099,0.4944,flat_ground_walk_forward,False,False
148,1.0,0.0216,0.4934,flat_ground_walk_forward,False,False
149,1.0,0.0276,0.4984,flat_ground_walk_forward,False,False
150,1.0,0.0288,0.4936,flat_ground_walk_forward,False,False
151,1.0,0.031,0.4962,flat_ground_walk_forward,False,False
152,1.0,0.0314,0.4994,flat_ground_walk_forward,False,False
153,1.0,0.0303,0.4951,flat_ground_walk_forward,False,False
154,1.0,0.0256,0.4998,flat_ground_walk_forward,False,False
155,1.0,0.0203,0.5003,flat_ground_walk_forward,False,False
156,1.0,0.0206,0.4972,flat_ground_walk_forward,False,False
157,1.0,0.0178,0.5024,flat_ground_walk_forward,False,False
158,1.0,0.0113,0.5003,flat_ground_walk_forward,False,False
159,1.0,0.0104,0.4989,flat_ground_walk_forward,False,False
160,1.0,0.0558,0.5031,flat_ground_walk_forward,False,False
161,1.0,0.2452,0.5012,flat_ground_walk_forward,False,False
162,1.0,0.4723,0.5029,flat_ground_walk_forward,False,False
163,1.0,0.6954,0.5047,flat_ground_walk_forward,False,False
164,1.0,0.9092,0.5059,flat_ground_walk_forward,False,False
165,1.0,1.0754,0.4937,flat_ground_walk_forward,False,False
166,1.0,1.1404,0.4826,flat_ground_walk_forward,False,False
167,1.0,1.1605,0.4849,flat_ground_walk_forward,False,False
168,1.0,0.5922,0.4549,flat_ground_walk_forward,False,False
169,1.0,0.4949,0.467,flat_ground_walk_forward,False,False
170,1.0,0.4576,0.5063,flat_ground_walk_forward,False,False
171,1.0,0.2838,0.5047,flat_ground_walk_forward,False,False
172,1.0,0.0783,0.5149,flat_ground_walk_forward,False,False
173,0.9999,0.1423,0.5109,flat_ground_walk_forward,False,False
174,0.9999,0.2972,0.514,flat_ground_walk_forward,False,False
175,0.9999,0.5282,0.5145,flat_ground_walk_forward,False,False
176,0.9999,0.5669,0.4557,flat_ground_walk_forward,False,False
177,1.0,0.4055,0.2829,flat_ground_walk_forward,False,False
178,1.0,0.1195,0.3981,flat_ground_walk_forward,False,False
179,1.0,0.1144,0.5822,flat_ground_walk_forward,False,False
180,1.0,0.0535,0.4793,flat_ground_walk_forward,False,False
181,1.0,0.1572,0.4729,flat_ground_walk_forward,False,False
182,1.0,0.1746,0.4467,flat_ground_walk_forward,False,False
183,1.0,0.0521,0.4543,flat_ground_walk_forward,False,False
184,1.0,0.091,0.5693,flat_ground_walk_forward,False,False
185,1.0,0.0567,0.5027,flat_ground_walk_forward,False,False
186,1.0,0.1036,0.508,flat_ground_walk_forward,False,False
187,1.0,0.0526,0.5479,flat_ground_walk_forward,False,False
188,1.0,0.037,0.4777,flat_ground_walk_forward,False,False
189,1.0,0.0465,0.4888,flat_ground_walk_forward,False,False
190,1.0,0.0756,0.5245,flat_ground_walk_forward,False,False
191,1.0,0.0356,0.4777,flat_ground_walk_forward,False,False
192,1.0,0.0108,0.4915,flat_ground_walk_forward,False,False
193,1.0,0.0405,0.5191,flat_ground_walk_forward,False,False
194,1.0,0.06,0.4875,flat_ground_walk_forward,False,False
195,1.0,0.0218,0.4967,flat_ground_walk_forward,False,False
196,1.0,0.0198,0.5143,flat_ground_walk_forward,False,False
197,1.0,0.0266,0.4949,flat_ground_walk_forward,False,False
198,1.0,0.0454,0.4974,flat_ground_walk_forward,False,False
199,1.0,0.0211,0.5068,flat_ground_walk_forward,False,False
200,1.0,0.0405,0.4988,flat_ground_walk_forward,False,False
201,1.0,0.0951,0.5001,flat_ground_walk_forward,False,False
202,1.0,0.1157,0.505,flat_ground_walk_forward,False,False
203,1.0,0.1958,0.5009,flat_ground_walk_forward,False,False
204,1.0,0.328,0.4986,flat_ground_walk_forward,False,False
205,1.0,0.4707,0.4973,flat_ground_walk_forward,False,False
206,1.0,0.5953,0.496,flat_ground_walk_forward,False,False
207,1.0,0.6879,0.4988,flat_ground_walk_forward,False,False
208,1.0,0.7391,0.5009,flat_ground_walk_forward,False,False
209,1.0,0.7475,0.5027,flat_ground_walk_forward,False,False
210,1.0,0.7279,0.5041,flat_ground_walk_forward,False,False
211,1.0,0.6764,0.5053,flat_ground_walk_forward,False,False
212,1.0,0.6053,0.505,flat_ground_walk_forward,False,False
213,1.0,0.5061,0.5094,flat_ground_walk_forward,False,False
214,1.0,0.409,0.5086,flat_ground_walk_forward,False,False
215,1.0,0.3059,0.5086,flat_ground_walk_forward,False,False
216,1.0,0.2021,0.5121,flat_ground_walk_forward,False,False
217,1.0,0.118,0.5087,flat_ground_walk_forward,False,False
218,1.0,0.043,0.5149,flat_ground_walk_forward,False,False
