step,upright,speed,reward,skill_name,fault_active,emergency_pending
0,1.0,0.016,0.4981,flat_walk_trot,False,False
1,1.0,0.1013,0.4993,flat_walk_trot,False,False
2,0.9999,0.2298,0.4961,flat_walk_trot,False,False
3,0.9996,0.3317,0.4847,flat_walk_trot,False,False
4,0.9991,0.4103,0.4878,flat_walk_trot,False,False
5,0.9984,0.4576,0.4935,flat_walk_trot,False,False
6,0.9973,0.4794,0.4885,flat_walk_trot,False,False
7,0.9962,0.4837,0.4956,flat_walk_trot,False,False
8,0.995,0.4723,0.4978,flat_walk_trot,False,False
9,0.9939,0.4583,0.4966,flat_walk_trot,False,False
10,0.9928,0.434,0.5024,flat_walk_trot,False,False
11,0.9919,0.4045,0.4931,flat_walk_trot,False,False
12,0.991,0.3677,0.4958,flat_walk_trot,False,False
13,0.9903,0.3327,0.4831,flat_walk_trot,False,False
14,0.9896,0.2841,0.4908,flat_walk_trot,False,False
15,0.9894,0.2293,0.4878,flat_walk_trot,False,False
16,0.9909,0.2087,0.4766,flat_walk_trot,False,False
17,0.9931,0.2777,0.4654,flat_walk_trot,False,False
18,0.9956,0.3913,0.4671,flat_walk_trot,False,False
19,0.9978,0.435,0.4539,flat_walk_trot,False,False
20,0.9992,0.4489,0.451,flat_walk_trot,False,False
21,0.9999,0.5042,0.4525,flat_walk_trot,False,False
22,0.9999,0.5064,0.4208,flat_walk_trot,False,False
23,0.9998,0.3677,0.3572,flat_walk_trot,False,False
24,0.9998,0.4901,0.4588,flat_walk_trot,False,False
25,0.9995,0.3846,0.5052,flat_walk_trot,False,False
26,0.9993,0.3193,0.4624,flat_walk_trot,False,False
27,0.9986,0.3011,0.5824,flat_walk_trot,False,False
28,0.998,0.2107,0.5406,flat_walk_trot,False,False
29,0.9978,0.179,0.5459,flat_walk_trot,False,False
30,0.9975,0.1865,0.6537,flat_walk_trot,False,False
31,0.9978,0.1586,0.5948,flat_walk_trot,False,False
32,0.9985,0.3093,0.6067,flat_walk_trot,False,False
33,0.9991,0.4191,0.6182,flat_walk_trot,False,False
34,0.9998,0.3617,0.7328,flat_walk_trot,False,False
35,1.0,0.4771,0.9392,flat_walk_trot,False,False
36,0.9997,0.4728,0.9577,flat_walk_trot,False,False
37,0.9993,0.3708,0.8607,flat_walk_trot,False,False
38,0.9992,0.3845,0.6578,flat_walk_trot,False,False
39,0.9989,0.4318,0.4498,flat_walk_trot,False,False
40,0.9984,0.3377,0.4906,flat_walk_trot,False,False
41,0.9974,0.259,0.4632,flat_walk_trot,False,False
42,0.9959,0.2302,0.4272,flat_walk_trot,False,False
43,0.9949,0.2452,0.4715,flat_walk_trot,False,False
44,0.9942,0.2328,0.4566,flat_walk_trot,False,False
45,0.9936,0.1696,0.4678,flat_walk_trot,False,False
46,0.9942,0.1851,0.4903,flat_walk_trot,False,False
47,0.9953,0.2039,0.4615,flat_walk_trot,False,False
48,0.9969,0.329,0.4757,flat_walk_trot,False,False
49,0.9984,0.4028,0.4996,flat_walk_trot,False,False
50,0.9995,0.4969,0.4708,flat_walk_trot,False,False
51,1.0,0.5771,0.4495,flat_walk_trot,False,False
