step,upright,speed,reward,skill_name,fault_active,reconnect_active
0,1.0,0.0126,0.5,flat_walk_trot,False,False
1,1.0,0.0931,0.5,flat_walk_trot,False,False
2,0.9999,0.2215,0.5,flat_walk_trot,False,False
3,0.9995,0.3209,0.4999,flat_walk_trot,False,False
4,0.999,0.3882,0.4993,flat_walk_trot,False,False
5,0.9981,0.4324,0.4987,flat_walk_trot,False,False
6,0.997,0.4523,0.4987,flat_walk_trot,False,False
7,0.9957,0.4554,0.4977,flat_walk_trot,False,False
8,0.9944,0.4434,0.4976,flat_walk_trot,False,False
9,0.9931,0.425,0.499,flat_walk_trot,False,False
10,0.992,0.4025,0.5023,flat_walk_trot,False,False
11,0.991,0.3653,0.4975,flat_walk_trot,False,False
12,0.99,0.3254,0.5002,flat_walk_trot,False,False
13,0.9892,0.289,0.4976,flat_walk_trot,False,False
14,0.9886,0.2418,0.4965,flat_walk_trot,False,False
15,0.9885,0.1836,0.4987,flat_walk_trot,False,False
16,0.9902,0.1777,0.4973,flat_walk_trot,False,False
17,0.9928,0.2825,0.5007,flat_walk_trot,False,False
18,0.9956,0.4129,0.4938,flat_walk_trot,False,False
19,0.9981,0.4675,0.4943,flat_walk_trot,False,False
20,0.9995,0.4934,0.4972,flat_walk_trot,False,False
21,1.0,0.521,0.5055,flat_walk_trot,False,False
22,0.9998,0.3811,0.4803,flat_walk_trot,False,False
23,0.9998,0.5547,0.48,flat_walk_trot,False,False
24,0.9994,0.5959,0.5229,flat_walk_trot,False,False
25,0.9989,0.5248,0.5103,flat_walk_trot,False,False
26,0.9978,0.4288,0.5122,flat_walk_trot,False,False
27,0.996,0.3683,0.5158,flat_walk_trot,False,False
28,0.9942,0.3321,0.5081,flat_walk_trot,False,False
29,0.9926,0.2973,0.5046,flat_walk_trot,False,False
30,0.9925,0.2249,0.4897,flat_walk_trot,False,False
31,0.9928,0.0657,0.4996,flat_walk_trot,False,False
32,0.9941,0.2421,0.5007,flat_walk_trot,False,False
33,0.996,0.3254,0.498,flat_walk_trot,False,False
34,0.9979,0.3844,0.5033,flat_walk_trot,False,False
35,0.9993,0.4651,0.5027,flat_walk_trot,False,False
36,1.0,0.5229,0.5028,flat_walk_trot,False,False
37,0.9996,0.5542,0.502,flat_walk_trot,False,False
38,0.9994,0.4733,0.5042,flat_walk_trot,False,False
39,0.9991,0.6115,0.5009,flat_walk_trot,False,False
40,0.9984,0.5034,0.4995,flat_walk_trot,False,False
41,0.9978,0.4237,0.5009,flat_walk_trot,False,False
42,0.9962,0.3435,0.4972,flat_walk_trot,False,False
43,0.9949,0.3644,0.4958,flat_walk_trot,False,False
44,0.9932,0.384,0.4963,flat_walk_trot,False,False
45,0.9923,0.3266,0.4946,flat_walk_trot,False,False
46,0.9934,0.1432,0.4926,flat_walk_trot,False,False
47,0.9944,0.1753,0.4951,flat_walk_trot,False,False
48,0.9965,0.3125,0.4955,flat_walk_trot,False,False
49,0.998,0.3857,0.4975,flat_walk_trot,False,False
50,0.9993,0.4592,0.4979,flat_walk_trot,False,False
51,1.0,0.4936,0.4972,flat_walk_trot,False,False
52,0.9997,0.5066,0.4981,flat_walk_trot,False,False
53,0.9994,0.4351,0.4977,flat_walk_trot,False,False
54,0.9991,0.5827,0.4989,flat_walk_trot,False,False
55,0.9983,0.4875,0.5008,flat_walk_trot,False,False
56,0.9977,0.4332,0.4998,flat_walk_trot,False,False
57,0.9961,0.3509,0.4999,flat_walk_trot,False,False
58,0.9946,0.3897,0.4992,flat_walk_trot,False,False
59,0.993,0.4046,0.4995,flat_walk_trot,False,False
60,0.9927,0.3072,0.5019,flat_walk_trot,False,False
61,0.9933,0.1546,0.501,flat_walk_trot,False,False
62,0.9945,0.2213,0.5014,flat_walk_trot,False,False
63,0.9962,0.3336,0.5015,flat_walk_trot,False,False
64,0.9979,0.3739,0.5001,flat_walk_trot,False,False
65,0.9992,0.4417,0.4998,flat_walk_trot,False,False
66,1.0,0.4877,0.4999,flat_walk_trot,False,False
67,0.9997,0.5017,0.4996,flat_walk_trot,False,False
68,0.9994,0.4454,0.4993,flat_walk_trot,False,False
69,0.9992,0.6165,0.499,flat_walk_trot,False,False
70,0.9984,0.5091,0.4987,flat_walk_trot,False,False
71,0.998,0.4492,0.4982,flat_walk_trot,False,False
72,0.9964,0.3539,0.498,flat_walk_trot,False,False
73,0.9951,0.3793,0.4971,flat_walk_trot,False,False
74,0.9935,0.4063,0.4963,flat_walk_trot,False,False
75,0.9922,0.3633,0.4971,flat_walk_trot,False,False
76,0.9935,0.1917,0.4932,flat_walk_trot,False,False
77,0.9948,0.1794,0.4922,flat_walk_trot,False,False
78,0.9968,0.3266,0.4979,flat_walk_trot,False,False
79,0.9982,0.3934,0.4974,flat_walk_trot,False,False
80,0.9994,0.4538,0.4987,flat_walk_trot,False,False
81,1.0,0.4942,0.4989,flat_walk_trot,False,False
82,0.9996,0.5014,0.499,flat_walk_trot,False,False
83,0.9995,0.4443,0.4993,flat_walk_trot,False,False
84,0.9991,0.5644,0.5015,flat_walk_trot,False,False
