step,upright,speed,reward,skill_name,fault_active
0,1.0,0.0174,0.5,flat_walk_trot,False
1,1.0,0.1083,0.5,flat_walk_trot,False
2,0.9998,0.2495,0.5,flat_walk_trot,False
3,0.9995,0.3702,0.4999,flat_walk_trot,False
4,0.9988,0.4605,0.4997,flat_walk_trot,False
5,0.9978,0.5307,0.4995,flat_walk_trot,False
6,0.9964,0.5687,0.4991,flat_walk_trot,False
7,0.9947,0.5791,0.4987,flat_walk_trot,False
8,0.9929,0.5595,0.4982,flat_walk_trot,False
9,0.991,0.5159,0.4975,flat_walk_trot,False
10,0.9892,0.4687,0.4969,flat_walk_trot,False
11,0.9875,0.4089,0.4966,flat_walk_trot,False
12,0.986,0.3429,0.4966,flat_walk_trot,False
13,0.9848,0.2833,0.4967,flat_walk_trot,False
14,0.9838,0.2172,0.496,flat_walk_trot,False
15,0.983,0.1535,0.4958,flat_walk_trot,False
16,0.9824,0.1037,0.4956,flat_walk_trot,False
17,0.982,0.0549,0.4949,flat_walk_trot,False
18,0.9817,0.0157,0.4952,flat_walk_trot,False
19,0.9816,0.0112,0.4957,flat_walk_trot,False
20,0.9821,0.0688,0.4954,flat_walk_trot,False
21,0.9842,0.1926,0.496,flat_walk_trot,False
22,0.9877,0.3532,0.4972,flat_walk_trot,False
23,0.9919,0.4721,0.4983,flat_walk_trot,False
24,0.9959,0.5583,0.4994,flat_walk_trot,False
25,0.9988,0.6558,0.5002,flat_walk_trot,False
26,0.9999,0.7625,0.5004,flat_walk_trot,False
27,0.9997,0.8584,0.5007,flat_walk_trot,False
28,0.998,0.9093,0.4998,flat_walk_trot,False
29,0.9974,0.7876,0.4983,flat_walk_trot,False
30,0.9963,0.8437,0.4995,flat_walk_trot,False
31,0.9946,0.729,0.4979,flat_walk_trot,False
32,0.9931,0.5948,0.492,flat_walk_trot,False
33,0.9903,0.4683,0.4964,flat_walk_trot,False
34,0.9882,0.4245,0.4984,flat_walk_trot,False
35,0.9852,0.4227,0.4966,flat_walk_trot,False
36,0.9843,0.3249,0.4865,flat_walk_trot,False
37,0.9837,0.2311,0.484,flat_walk_trot,False
38,0.9821,0.1035,0.4986,flat_walk_trot,False
39,0.9819,0.1253,0.4965,flat_walk_trot,False
40,0.9821,0.0762,0.491,flat_walk_trot,False
41,0.9836,0.1791,0.5014,flat_walk_trot,False
42,0.987,0.3702,0.4985,flat_walk_trot,False
43,0.9906,0.4717,0.4995,flat_walk_trot,False
44,0.9946,0.5565,0.5007,flat_walk_trot,False
45,0.9978,0.6454,0.5,flat_walk_trot,False
46,0.9997,0.7425,0.5006,flat_walk_trot,False
47,0.9998,0.8766,0.5003,flat_walk_trot,False
48,0.998,0.9984,0.4998,flat_walk_trot,False
49,0.9967,0.7947,0.4982,flat_walk_trot,False
50,0.9963,0.9507,0.4952,flat_walk_trot,False
51,0.9946,0.7739,0.4957,flat_walk_trot,False
52,0.9935,0.6455,0.4954,flat_walk_trot,False
53,0.9915,0.4674,0.4914,flat_walk_trot,False
54,0.9897,0.3929,0.4891,flat_walk_trot,False
55,0.9878,0.3411,0.4893,flat_walk_trot,False
56,0.9853,0.4057,0.4857,flat_walk_trot,False
57,0.9828,0.4438,0.4773,flat_walk_trot,False
58,0.9834,0.2029,0.4844,flat_walk_trot,False
59,0.9825,0.1554,0.4901,flat_walk_trot,False
60,0.9823,0.1002,0.4928,flat_walk_trot,False
61,0.9844,0.2426,0.4941,flat_walk_trot,False
62,0.9875,0.3215,0.5074,flat_walk_trot,False
63,0.9915,0.4502,0.5084,flat_walk_trot,False
64,0.9951,0.5286,0.5056,flat_walk_trot,False
65,0.9981,0.6129,0.5069,flat_walk_trot,False
66,0.9998,0.7349,0.5064,flat_walk_trot,False
67,0.9998,0.8519,0.5036,flat_walk_trot,False
68,0.9981,0.9774,0.5027,flat_walk_trot,False
69,0.9969,0.8102,0.4779,flat_walk_trot,False
70,0.9965,0.9865,0.467,flat_walk_trot,False
71,0.9948,0.7954,0.4805,flat_walk_trot,False
72,0.9939,0.6656,0.475,flat_walk_trot,False
73,0.9922,0.4851,0.4816,flat_walk_trot,False
74,0.991,0.4072,0.4798,flat_walk_trot,False
75,0.9891,0.3369,0.4779,flat_walk_trot,False
76,0.987,0.3942,0.4827,flat_walk_trot,False
77,0.9845,0.5004,0.4842,flat_walk_trot,False
78,0.9823,0.4042,0.5055,flat_walk_trot,False
79,0.9834,0.2218,0.518,flat_walk_trot,False
80,0.9826,0.0676,0.4978,flat_walk_trot,False
81,0.9845,0.1925,0.501,flat_walk_trot,False
82,0.9873,0.3412,0.4967,flat_walk_trot,False
83,0.9911,0.4304,0.4898,flat_walk_trot,False
84,0.9948,0.5048,0.4966,flat_walk_trot,False
85,0.9979,0.5836,0.4945,flat_walk_trot,False
86,0.9997,0.6898,0.4959,flat_walk_trot,False
87,0.9998,0.8197,0.4971,flat_walk_trot,False
88,0.9981,0.9499,0.4977,flat_walk_trot,False
89,0.9968,0.7904,0.5104,flat_walk_trot,False
90,0.9964,0.9582,0.5106,flat_walk_trot,False
91,0.9948,0.7858,0.4992,flat_walk_trot,False
92,0.9938,0.6673,0.5063,flat_walk_trot,False
93,0.9919,0.4851,0.5061,flat_walk_trot,False
94,0.9905,0.4137,0.5011,flat_walk_trot,False
95,0.9887,0.3486,0.4991,flat_walk_trot,False
96,0.9865,0.4032,0.4989,flat_walk_trot,False
97,0.9839,0.5102,0.4971,flat_walk_trot,False
98,0.9827,0.3244,0.4942,flat_walk_trot,False
99,0.9832,0.2145,0.4915,flat_walk_trot,False
100,0.9823,0.0414,0.4918,flat_walk_trot,False
101,0.9844,0.2117,0.4922,flat_walk_trot,False
102,0.9871,0.2952,0.4956,flat_walk_trot,False
103,0.9911,0.4053,0.499,flat_walk_trot,False
104,0.9947,0.494,0.4989,flat_walk_trot,False
105,0.9978,0.5713,0.4994,flat_walk_trot,False
106,0.9997,0.6917,0.5005,flat_walk_trot,False
107,0.9999,0.8179,0.5003,flat_walk_trot,False
108,0.9982,0.945,0.4992,flat_walk_trot,False
109,0.9966,0.8188,0.4988,flat_walk_trot,False
110,0.9962,0.9317,0.4981,flat_walk_trot,False
111,0.9945,0.7813,0.4985,flat_walk_trot,False
112,0.9935,0.6632,0.4977,flat_walk_trot,False
113,0.9917,0.4787,0.5025,flat_walk_trot,False
114,0.9901,0.411,0.5015,flat_walk_trot,False
115,0.9884,0.356,0.5001,flat_walk_trot,False
116,0.986,0.4047,0.5012,flat_walk_trot,False
117,0.9834,0.5141,0.4984,flat_walk_trot,False
118,0.9832,0.2538,0.5069,flat_walk_trot,False
119,0.9829,0.2014,0.5071,flat_walk_trot,False
120,0.9821,0.0644,0.499,flat_walk_trot,False
121,0.9844,0.2317,0.5153,flat_walk_trot,False
122,0.9873,0.2899,0.5251,flat_walk_trot,False
123,0.9912,0.4218,0.5181,flat_walk_trot,False
124,0.9949,0.5061,0.5161,flat_walk_trot,False
125,0.9979,0.5911,0.518,flat_walk_trot,False
126,0.9997,0.7152,0.514,flat_walk_trot,False
127,0.9999,0.8311,0.5097,flat_walk_trot,False
128,0.9981,0.9618,0.5108,flat_walk_trot,False
129,0.9966,0.8263,0.4991,flat_walk_trot,False
