step,upright,speed,reward,skill_name,fault_active,reconnect_active
0,1.0,0.016,0.4981,flat_walk_trot,False,False
1,1.0,0.1013,0.4993,flat_walk_trot,False,False
2,0.9999,0.2298,0.4961,flat_walk_trot,False,False
3,0.9996,0.3317,0.4847,flat_walk_trot,False,False
4,0.9991,0.4103,0.4878,flat_walk_trot,False,False
5,0.9984,0.4576,0.4935,flat_walk_trot,False,False
6,0.9973,0.4794,0.4885,flat_walk_trot,False,False
7,0.9962,0.4837,0.4956,flat_walk_trot,False,False
8,0.995,0.4723,0.4978,flat_walk_trot,False,False
9,0.9939,0.4583,0.4966,flat_walk_trot,False,False
10,0.9928,0.434,0.5024,flat_walk_trot,False,False
11,0.9919,0.4045,0.4931,flat_walk_trot,False,False
12,0.991,0.3677,0.4958,flat_walk_trot,False,False
13,0.9903,0.3327,0.4831,flat_walk_trot,False,False
14,0.9896,0.2841,0.4908,flat_walk_trot,False,False
15,0.9895,0.2299,0.49,flat_walk_trot,False,False
16,0.9909,0.2055,0.4779,flat_walk_trot,False,False
17,0.9932,0.2767,0.4677,flat_walk_trot,False,False
18,0.9958,0.4011,0.4742,flat_walk_trot,False,False
19,0.998,0.4614,0.4514,flat_walk_trot,False,False
20,0.9994,0.4915,0.4461,flat_walk_trot,False,False
21,1.0,0.5424,0.4295,flat_walk_trot,False,False
22,0.9998,0.3798,0.3788,flat_walk_trot,False,False
23,0.9998,0.3716,0.4477,flat_walk_trot,False,False
24,0.9996,0.4226,0.5514,flat_walk_trot,False,False
25,0.9994,0.3126,0.4866,flat_walk_trot,False,False
26,0.9989,0.2183,0.5349,flat_walk_trot,False,False
27,0.9981,0.1926,0.5695,flat_walk_trot,False,False
28,0.9978,0.1677,0.5163,flat_walk_trot,False,False
29,0.9976,0.2296,0.6533,flat_walk_trot,False,False
30,0.997,0.1494,0.6391,flat_walk_trot,False,False
31,0.9977,0.1814,0.5737,flat_walk_trot,False,False
32,0.9982,0.3279,0.6068,flat_walk_trot,False,False
33,0.9993,0.4458,0.5534,flat_walk_trot,False,False
34,0.9998,0.4465,0.6355,flat_walk_trot,False,False
35,0.9999,0.369,0.8403,flat_walk_trot,False,False
36,0.9998,0.4197,0.8942,flat_walk_trot,False,False
37,0.9996,0.3531,0.786,flat_walk_trot,False,False
38,0.9996,0.4322,0.5914,flat_walk_trot,False,False
39,0.9991,0.3965,0.5027,flat_walk_trot,False,False
40,0.9986,0.3423,0.4988,flat_walk_trot,False,False
41,0.9976,0.2731,0.4423,flat_walk_trot,False,False
42,0.9959,0.2543,0.4815,flat_walk_trot,False,False
43,0.9953,0.2872,0.489,flat_walk_trot,False,False
44,0.9943,0.2318,0.4814,flat_walk_trot,False,False
45,0.9936,0.2167,0.5038,flat_walk_trot,False,False
46,0.9945,0.1702,0.4878,flat_walk_trot,False,False
47,0.9955,0.1633,0.5151,flat_walk_trot,False,False
48,0.9971,0.3455,0.5198,flat_walk_trot,False,False
49,0.9986,0.4281,0.4924,flat_walk_trot,False,False
50,0.9996,0.4878,0.5014,flat_walk_trot,False,False
51,1.0,0.5825,0.4999,flat_walk_trot,False,False
