method,fault_leg,trial_timestamp,success,response_time_s,response_steps,llm_calls
HERA Full,BL,20260808_020139,1,2.233,12731,9
HERA Full,BL,20260808_020214,1,2.247,12800,9
HERA Full,BL,20260808_020249,1,2.125,12100,9
HERA Full,BR,20260808_020324,1,2.178,12100,11
HERA Full,BR,20260808_020400,1,2.257,12800,9
HERA Full,BR,20260808_020435,1,2.246,12864,9
HERA Full,FL,20260808_015808,1,2.231,12096,9
HERA Full,FL,20260808_015844,1,2.298,12750,9
HERA Full,FL,20260808_015919,1,2.213,12401,9
HERA Full,FR,20260808_015954,1,2.236,12800,9
HERA Full,FR,20260808_020029,1,2.347,13019,9
HERA Full,FR,20260808_020104,1,2.261,12926,9
HERA-NoCancel,BL,20260808_020841,1,19.463,115000,4
HERA-NoCancel,BL,20260808_020916,1,24.806,148144,4
HERA-NoCancel,BL,20260808_020951,1,20.791,125088,4
HERA-NoCancel,BR,20260808_021026,1,21.534,127145,4
HERA-NoCancel,BR,20260808_021101,1,22.28,129000,4
HERA-NoCancel,BR,20260808_021136,1,17.804,107215,4
HERA-NoCancel,FL,20260808_020510,1,18.52,110100,4
HERA-NoCancel,FL,20260808_020545,1,21.694,128300,4
HERA-NoCancel,FL,20260808_020620,1,24.534,145209,4
HERA-NoCancel,FR,20260808_020655,1,21.574,127709,4
HERA-NoCancel,FR,20260808_020730,1,21.309,128300,4
HERA-NoCancel,FR,20260808_020805,1,18.769,110393,4
HERA-NoSuppress,BL,20260808_021543,1,4.375,24700,11
HERA-NoSuppress,BL,20260808_021618,1,4.362,25267,12
HERA-NoSuppress,BL,20260808_021653,1,4.454,25734,10
HERA-NoSuppress,BR,20260808_021729,1,4.524,26100,10
HERA-NoSuppress,BR,20260808_021804,1,4.585,26218,11
HERA-NoSuppress,BR,20260808_021839,1,4.453,24700,11
HERA-NoSuppress,FL,20260808_021211,1,4.49,24700,12
HERA-NoSuppress,FL,20260808_021247,1,4.54,24130,10
HERA-NoSuppress,FL,20260808_021322,1,4.424,23844,11
HERA-NoSuppress,FR,20260808_021357,1,4.559,24000,10
HERA-NoSuppress,FR,20260808_021432,1,4.53,24745,9
HERA-NoSuppress,FR,20260808_021508,1,4.442,25342,10
