llm_model,method,fault_leg,trial_timestamp,success,response_time_s,response_steps,llm_calls
Qwen3.5 9B,HERA,BL,20260808_023310,1,2.183,12980,9
Qwen3.5 9B,HERA,BL,20260808_023345,1,2.221,12809,11
Qwen3.5 9B,HERA,BL,20260808_023420,1,2.161,13108,11
Qwen3.5 9B,HERA,BR,20260808_023455,1,2.369,14200,9
Qwen3.5 9B,HERA,BR,20260808_023530,1,2.215,12891,9
Qwen3.5 9B,HERA,BR,20260808_023605,1,2.203,12966,10
Qwen3.5 9B,HERA,FL,20260808_022939,1,2.157,12847,9
Qwen3.5 9B,HERA,FL,20260808_023014,1,2.264,12822,9
Qwen3.5 9B,HERA,FL,20260808_023049,1,2.245,12739,9
Qwen3.5 9B,HERA,FR,20260808_023124,1,2.238,13337,9
Qwen3.5 9B,HERA,FR,20260808_023159,1,2.174,12800,9
Qwen3.5 9B,HERA,FR,20260808_023235,1,2.256,13500,9
Qwen3.5 9B,Baseline C,BL,20260808_024012,0,,187348,3
Qwen3.5 9B,Baseline C,BL,20260808_024047,0,,187512,3
Qwen3.5 9B,Baseline C,BL,20260808_024122,0,,188500,3
Qwen3.5 9B,Baseline C,BR,20260808_024157,0,,181500,3
Qwen3.5 9B,Baseline C,BR,20260808_024233,1,28.362,167855,34
Qwen3.5 9B,Baseline C,BR,20260808_024308,1,20.899,127576,180
Qwen3.5 9B,Baseline C,FL,20260808_023641,1,20.514,121681,187
Qwen3.5 9B,Baseline C,FL,20260808_023716,0,,183600,3
Qwen3.5 9B,Baseline C,FL,20260808_023751,0,,183993,3
Qwen3.5 9B,Baseline C,FR,20260808_023827,0,,187800,3
Qwen3.5 9B,Baseline C,FR,20260808_023902,0,,186400,3
Qwen3.5 9B,Baseline C,FR,20260808_023937,1,23.038,144185,142
Qwen3.5 9B,Baseline Fair,BL,20260808_061028,1,20.335,122699,191
Qwen3.5 9B,Baseline Fair,BL,20260808_061103,1,20.988,128299,181
Qwen3.5 9B,Baseline Fair,BL,20260808_061139,1,21.149,128586,176
Qwen3.5 9B,Baseline Fair,BR,20260808_061214,1,23.377,138010,125
Qwen3.5 9B,Baseline Fair,BR,20260808_061249,1,22.427,131028,150
Qwen3.5 9B,Baseline Fair,BR,20260808_061325,1,18.071,107909,237
Qwen3.5 9B,Baseline Fair,FL,20260808_060656,1,21.403,126199,171
Qwen3.5 9B,Baseline Fair,FL,20260808_060731,1,22.463,137399,150
Qwen3.5 9B,Baseline Fair,FL,20260808_060806,1,21.516,129699,172
Qwen3.5 9B,Baseline Fair,FR,20260808_060842,1,21.057,126955,179
Qwen3.5 9B,Baseline Fair,FR,20260808_060917,1,23.705,143831,128
Qwen3.5 9B,Baseline Fair,FR,20260808_060953,1,22.577,136478,149
Qwen3.5 4B,HERA,BL,20260808_025431,1,1.839,10481,8
Qwen3.5 4B,HERA,BL,20260808_025506,1,2.118,12100,8
Qwen3.5 4B,HERA,BL,20260808_025543,1,1.797,10282,9
Qwen3.5 4B,HERA,BR,20260808_025620,1,3.032,17812,9
Qwen3.5 4B,HERA,BR,20260808_025654,1,1.754,9860,8
Qwen3.5 4B,HERA,BR,20260808_025729,1,1.745,10000,7
Qwen3.5 4B,HERA,FL,20260808_025101,1,14.671,89800,16
Qwen3.5 4B,HERA,FL,20260808_025135,1,2.42,14206,7
Qwen3.5 4B,HERA,FL,20260808_025210,1,1.76,10000,7
Qwen3.5 4B,HERA,FR,20260808_025246,1,1.913,10707,11
Qwen3.5 4B,HERA,FR,20260808_025320,1,1.825,10542,12
Qwen3.5 4B,HERA,FR,20260808_025355,1,1.824,10649,6
Qwen3.5 4B,Baseline C,BL,20260808_030132,1,17.191,105039,250
Qwen3.5 4B,Baseline C,BL,20260808_030207,1,18.264,110849,231
Qwen3.5 4B,Baseline C,BL,20260808_030243,1,15.545,95361,287
Qwen3.5 4B,Baseline C,BR,20260808_030317,1,16.484,99078,267
Qwen3.5 4B,Baseline C,BR,20260808_030352,1,14.836,90986,296
Qwen3.5 4B,Baseline C,BR,20260808_030426,0,,184598,3
Qwen3.5 4B,Baseline C,FL,20260808_025804,0,,183592,3
Qwen3.5 4B,Baseline C,FL,20260808_025838,1,16.336,100193,270
Qwen3.5 4B,Baseline C,FL,20260808_025913,0,,181326,3
Qwen3.5 4B,Baseline C,FR,20260808_025949,1,14.689,89314,296
Qwen3.5 4B,Baseline C,FR,20260808_030023,1,17.566,103507,231
Qwen3.5 4B,Baseline C,FR,20260808_030058,1,16.481,97253,259
Qwen3.5 4B,Baseline Fair,BL,20260808_061745,1,14.665,86843,293
Qwen3.5 4B,Baseline Fair,BL,20260808_061819,1,15.738,89099,262
Qwen3.5 4B,Baseline Fair,BL,20260808_061855,1,16.375,93299,264
Qwen3.5 4B,Baseline Fair,BR,20260808_061930,1,12.149,70899,348
Qwen3.5 4B,Baseline Fair,BR,20260808_062006,1,15.667,92255,278
Qwen3.5 4B,Baseline Fair,BR,20260808_062040,1,14.992,89434,292
Qwen3.5 4B,Baseline Fair,FL,20260808_061415,1,16.68,96099,256
Qwen3.5 4B,Baseline Fair,FL,20260808_061450,1,15.401,91375,283
Qwen3.5 4B,Baseline Fair,FL,20260808_061525,1,13.927,81399,314
Qwen3.5 4B,Baseline Fair,FR,20260808_061601,1,12.143,71778,344
Qwen3.5 4B,Baseline Fair,FR,20260808_061635,1,16.776,98899,257
Qwen3.5 4B,Baseline Fair,FR,20260808_061710,1,17.975,107112,234
LLaMA 3.2 3B,HERA,BL,20260808_031552,1,9.434,57600,19
LLaMA 3.2 3B,HERA,BL,20260808_031626,1,19.486,120309,28
LLaMA 3.2 3B,HERA,BL,20260808_031702,0,,,21
LLaMA 3.2 3B,HERA,BR,20260808_031737,1,21.945,136000,33
LLaMA 3.2 3B,HERA,BR,20260808_031811,1,21.565,129869,32
LLaMA 3.2 3B,HERA,BR,20260808_031845,0,,,40
LLaMA 3.2 3B,HERA,FL,20260808_031227,0,,,30
LLaMA 3.2 3B,HERA,FL,20260808_031300,0,,,4
LLaMA 3.2 3B,HERA,FL,20260808_031335,1,28.787,174500,37
LLaMA 3.2 3B,HERA,FR,20260808_031410,1,0.998,5394,12
LLaMA 3.2 3B,HERA,FR,20260808_031444,1,3.721,21961,15
LLaMA 3.2 3B,HERA,FR,20260808_031519,1,4.531,27058,18
LLaMA 3.2 3B,Baseline C,BL,20260808_032248,0,,,589
LLaMA 3.2 3B,Baseline C,BL,20260808_032323,1,6.286,38700,473
LLaMA 3.2 3B,Baseline C,BL,20260808_032358,0,,,587
LLaMA 3.2 3B,Baseline C,BR,20260808_032432,1,7.49,43504,417
LLaMA 3.2 3B,Baseline C,BR,20260808_032506,1,6.312,37560,454
LLaMA 3.2 3B,Baseline C,BR,20260808_032541,0,,,575
LLaMA 3.2 3B,Baseline C,FL,20260808_031919,1,7.692,45615,348
LLaMA 3.2 3B,Baseline C,FL,20260808_031954,1,7.243,43862,439
LLaMA 3.2 3B,Baseline C,FL,20260808_032029,1,6.889,41500,456
LLaMA 3.2 3B,Baseline C,FR,20260808_032103,0,,,580
LLaMA 3.2 3B,Baseline C,FR,20260808_032138,1,6.896,42268,289
LLaMA 3.2 3B,Baseline C,FR,20260808_032212,1,10.921,66587,245
LLaMA 3.2 3B,Baseline Fair,BL,20260808_062448,0,,,7
LLaMA 3.2 3B,Baseline Fair,BL,20260808_062523,1,24.574,142967,110
LLaMA 3.2 3B,Baseline Fair,BL,20260808_062557,0,,,7
LLaMA 3.2 3B,Baseline Fair,BR,20260808_062631,0,,,7
LLaMA 3.2 3B,Baseline Fair,BR,20260808_062705,0,,,572
LLaMA 3.2 3B,Baseline Fair,BR,20260808_062739,0,,,7
LLaMA 3.2 3B,Baseline Fair,FL,20260808_062119,0,,,7
LLaMA 3.2 3B,Baseline Fair,FL,20260808_062154,0,,,7
LLaMA 3.2 3B,Baseline Fair,FL,20260808_062228,0,,,577
LLaMA 3.2 3B,Baseline Fair,FR,20260808_062303,0,,,7
LLaMA 3.2 3B,Baseline Fair,FR,20260808_062338,1,10.021,59471,389
LLaMA 3.2 3B,Baseline Fair,FR,20260808_062413,0,,,561
