method,step,speed,upright,fault_active,reconnect_active
HERA,0,0.0457,1.0,False,False
HERA,1,0.1956,1.0,False,False
HERA,2,0.409,0.9999,False,False
HERA,3,0.6136,0.9997,False,False
HERA,4,0.7629,0.9991,False,False
HERA,5,0.8883,0.9978,False,False
HERA,6,0.9539,0.9959,False,False
HERA,7,0.9386,0.993,False,False
HERA,8,0.9111,0.9896,False,False
HERA,9,0.8335,0.9861,False,False
HERA,10,0.7846,0.9825,False,False
HERA,11,0.677,0.979,False,False
HERA,12,0.5673,0.9758,False,False
HERA,13,0.4727,0.9734,False,False
HERA,14,0.35,0.9712,False,False
HERA,15,0.2622,0.9695,False,False
HERA,16,0.1826,0.9686,False,False
HERA,17,0.1016,0.9677,False,False
HERA,18,0.0681,0.9672,False,False
HERA,19,0.0266,0.9672,False,False
HERA,20,0.1124,0.9673,False,False
HERA,21,0.3284,0.9689,False,False
HERA,22,0.5148,0.9726,False,False
HERA,23,0.6785,0.9772,False,False
HERA,24,0.8766,0.9823,False,False
HERA,25,1.0841,0.9878,False,False
HERA,26,1.2959,0.9928,False,False
HERA,27,1.4495,0.997,False,False
HERA,28,1.5817,0.9995,False,False
HERA,29,1.6563,0.9999,False,False
HERA,30,1.6702,0.9977,False,False
HERA,31,1.6875,0.9934,False,False
HERA,32,1.6509,0.9878,False,False
HERA,33,1.6627,0.9798,False,False
HERA,34,1.3509,0.9757,False,False
HERA,35,1.1565,0.9774,False,False
HERA,36,0.9327,0.9748,False,False
HERA,37,0.7707,0.9758,False,False
HERA,38,0.6498,0.9751,False,False
HERA,39,0.5835,0.9761,False,False
HERA,40,0.5704,0.9744,False,False
HERA,41,0.6878,0.9762,False,False
HERA,42,0.7902,0.9809,False,False
HERA,43,0.9184,0.987,False,False
HERA,44,0.6655,0.9897,False,False
HERA,45,0.5814,0.994,False,False
HERA,46,0.5134,0.9977,False,False
HERA,47,0.6251,0.9998,False,False
HERA,48,0.69,0.9995,False,False
HERA,49,0.8936,0.9965,False,False
HERA,50,0.9632,0.99,False,False
HERA,51,0.9747,0.9873,False,False
HERA,52,1.122,0.9893,False,False
HERA,53,0.9558,0.987,False,False
HERA,54,0.858,0.986,False,False
HERA,55,0.6442,0.9832,False,False
HERA,56,0.5126,0.9815,False,False
HERA,57,0.3735,0.9789,False,False
HERA,58,0.3697,0.9769,False,False
HERA,59,0.423,0.9743,False,False
HERA,60,0.5705,0.9713,False,False
HERA,61,0.3298,0.9735,False,False
HERA,62,0.2285,0.9788,False,False
HERA,63,0.3801,0.9864,False,False
HERA,64,0.5392,0.992,False,False
HERA,65,0.7046,0.9965,False,False
HERA,66,0.7867,0.9994,False,False
HERA,67,0.991,0.9999,False,False
HERA,68,0.9952,0.9975,False,False
HERA,69,1.1729,0.9931,False,False
HERA,70,1.259,0.9868,False,False
HERA,71,1.1154,0.9831,False,False
HERA,72,1.243,0.9856,False,False
HERA,73,1.0224,0.983,False,False
HERA,74,0.8745,0.9824,False,False
HERA,75,0.6362,0.9805,False,False
HERA,76,0.4507,0.9802,False,False
HERA,77,0.2705,0.9789,False,False
HERA,78,0.2324,0.9779,False,False
HERA,79,0.2805,0.9765,False,False
HERA,80,0.4477,0.9744,False,False
HERA,81,0.6798,0.9748,False,False
HERA,82,0.8117,0.9781,False,False
HERA,83,0.6872,0.9818,False,False
HERA,84,0.7114,0.9873,False,False
HERA,85,0.7974,0.9929,False,False
HERA,86,0.9751,0.9974,False,False
HERA,87,1.1011,0.9998,False,False
HERA,88,1.2772,0.9992,False,False
HERA,89,1.3143,0.9951,False,False
HERA,90,1.4959,0.9897,False,False
HERA,91,1.2603,0.9861,False,False
HERA,92,1.1911,0.9847,False,False
HERA,93,0.9963,0.9805,False,False
HERA,94,0.8191,0.978,False,False
HERA,95,0.6664,0.9744,False,False
HERA,96,0.5679,0.9722,False,False
HERA,97,0.4787,0.9699,False,False
HERA,98,0.3728,0.9693,False,False
HERA,99,0.2594,0.9679,False,False
HERA,100,0.1936,0.9674,False,False
HERA,101,0.1342,0.9694,False,False
HERA,102,0.3005,0.973,False,False
HERA,103,0.4552,0.9784,False,False
HERA,104,0.6656,0.9833,False,False
HERA,105,0.8584,0.9885,False,False
HERA,106,1.0537,0.9933,False,False
HERA,107,1.2386,0.9969,False,False
HERA,108,1.3236,0.9993,False,False
HERA,109,1.4623,0.9999,False,False
HERA,110,1.4839,0.9984,False,False
HERA,111,1.4715,0.9948,False,False
HERA,112,1.4956,0.9904,False,False
HERA,113,1.5019,0.9842,False,False
HERA,114,1.468,0.9764,False,False
HERA,115,1.0963,0.9777,False,False
HERA,116,0.8394,0.9744,False,False
HERA,117,0.7343,0.9735,False,False
HERA,118,0.5841,0.972,False,False
HERA,119,0.591,0.9708,False,False
HERA,120,0.5984,0.9692,False,False
HERA,121,0.6144,0.9709,False,False
HERA,122,0.3788,0.9754,False,False
HERA,123,0.338,0.98,False,False
HERA,124,0.3957,0.9862,False,False
HERA,125,0.5643,0.9908,False,False
HERA,126,0.687,0.9954,False,False
HERA,127,0.9023,0.9983,False,False
HERA,128,0.9872,0.9997,False,False
HERA,129,1.133,0.9993,False,False
HERA,130,1.2257,0.9968,False,False
HERA,131,1.2252,0.9922,False,False
HERA,132,1.313,0.9874,False,False
HERA,133,1.3645,0.9811,False,False
HERA,134,1.0533,0.9803,False,False
HERA,135,1.0077,0.9803,False,False
HERA,136,0.8192,0.9786,False,False
HERA,137,0.6565,0.9786,False,False
HERA,138,0.5287,0.9773,False,False
HERA,139,0.4326,0.9762,False,False
HERA,140,0.4501,0.9742,False,False
HERA,141,0.5905,0.9758,False,False
HERA,142,0.729,0.9805,False,False
HERA,143,0.7699,0.9856,False,False
HERA,144,0.6239,0.9891,False,False
HERA,145,0.6019,0.994,False,False
HERA,146,0.6657,0.9976,False,False
HERA,147,0.7945,0.9997,False,False
HERA,148,0.9177,0.999,False,False
HERA,149,1.0849,0.9962,False,False
HERA,150,1.186,0.9912,False,False
HERA,151,1.1161,0.9859,False,False
HERA,152,1.0272,0.9855,False,False
HERA,153,1.1295,0.9845,False,False
HERA,154,0.929,0.9819,False,False
HERA,155,0.7422,0.9799,False,False
HERA,156,0.5429,0.9777,False,False
HERA,157,0.3844,0.9765,False,False
HERA,158,0.3374,0.9746,False,False
HERA,159,0.396,0.973,False,False
HERA,160,0.5136,0.9702,False,False
HERA,161,0.4065,0.9717,False,False
HERA,162,0.2489,0.9774,False,False
HERA,163,0.3951,0.9849,False,False
HERA,164,0.5414,0.991,False,False
HERA,165,0.6941,0.9957,False,False
HERA,166,0.8183,0.9989,False,False
HERA,167,1.0095,1.0,False,False
HERA,168,1.0176,0.9985,False,False
HERA,169,1.1878,0.9948,False,False
HERA,170,1.2406,0.988,False,False
HERA,171,1.2278,0.9821,False,False
HERA,172,1.0852,0.984,False,False
HERA,173,1.1363,0.9829,False,False
HERA,174,0.9514,0.982,False,False
HERA,175,0.7578,0.9806,False,False
HERA,176,0.5223,0.9799,False,False
HERA,177,0.3216,0.9793,False,False
HERA,178,0.216,0.9786,False,False
HERA,179,0.2125,0.978,False,False
HERA,180,0.3691,0.9763,False,False
HERA,181,0.6062,0.9772,False,False
HERA,182,0.7964,0.9813,False,False
HERA,183,0.8527,0.9858,False,False
HERA,184,0.7719,0.9897,False,False
HERA,185,0.806,0.9948,False,False
HERA,186,0.9246,0.9984,False,False
HERA,187,1.0386,0.9999,False,False
HERA,188,1.2211,0.9988,False,False
HERA,189,1.339,0.9955,False,False
HERA,190,1.4027,0.9902,False,False
HERA,191,1.2169,0.9868,False,False
HERA,192,1.3333,0.9868,False,False
HERA,193,1.1038,0.983,False,False
HERA,194,0.9286,0.9807,False,False
HERA,195,0.7217,0.9776,False,False
HERA,196,0.588,0.9758,False,False
HERA,197,0.4912,0.9734,False,False
HERA,198,0.504,0.9717,False,False
HERA,199,0.4552,0.9699,False,False
HERA,200,0.2619,0.9699,False,False
HERA,201,0.1721,0.9719,False,False
HERA,202,0.2492,0.9767,False,False
HERA,203,0.385,0.9824,False,False
HERA,204,0.5501,0.9876,False,False
HERA,205,0.6858,0.9927,False,False
HERA,206,0.8633,0.9967,False,False
HERA,207,0.9809,0.9992,False,False
HERA,208,1.1165,0.9999,False,False
HERA,209,1.2094,0.9983,False,False
HERA,210,1.2594,0.9944,False,False
HERA,211,1.3412,0.9888,False,False
HERA,212,1.3743,0.9824,False,False
HERA,213,1.066,0.9811,False,False
HERA,214,1.0895,0.9813,False,False
HERA,215,0.8597,0.979,False,False
HERA,216,0.7148,0.9781,False,False
HERA,217,0.5404,0.9766,False,False
HERA,218,0.4434,0.976,False,False
HERA,219,0.4265,0.9738,False,False
HERA,220,0.5255,0.9723,False,False
HERA,221,0.6945,0.9728,False,False
HERA,222,0.7284,0.9761,False,False
HERA,223,0.3817,0.981,False,False
HERA,224,0.5555,0.9871,False,False
HERA,225,0.6797,0.9932,False,False
HERA,226,0.8871,0.9972,False,False
HERA,227,0.9307,0.9997,False,False
HERA,228,1.1236,0.9996,False,False
HERA,229,1.1469,0.9968,False,False
HERA,230,1.2689,0.9915,False,False
HERA,231,1.3197,0.9847,False,False
HERA,232,1.0245,0.9816,False,False
HERA,233,1.0885,0.9827,False,False
HERA,234,0.8488,0.9797,False,False
HERA,235,0.6833,0.9786,False,False
HERA,236,0.4829,0.9765,False,False
HERA,237,0.3727,0.9754,False,False
HERA,238,0.3201,0.9732,False,False
HERA,239,0.4308,0.9712,False,False
HERA,240,0.5242,0.9688,False,False
HERA,241,0.2461,0.9722,False,False
HERA,242,0.2686,0.9772,False,False
HERA,243,0.4156,0.9846,False,False
HERA,244,0.5884,0.9901,False,False
HERA,245,0.729,0.995,False,False
HERA,246,0.8656,0.9985,False,False
HERA,247,1.0168,1.0,False,False
HERA,248,1.0666,0.9991,False,False
HERA,249,1.2422,0.996,False,False
HERA,250,1.2621,0.9897,False,False
HERA,251,1.1595,0.9835,False,False
HERA,252,0.9941,0.9841,False,False
HERA,253,0.8839,0.9813,False,False
HERA,254,0.6976,0.9786,False,False
HERA,255,0.492,0.9761,False,False
HERA,256,0.4213,0.974,False,False
HERA,257,0.364,0.9716,False,False
HERA,258,0.3482,0.9701,False,False
HERA,259,0.2157,0.9709,False,False
HERA,260,0.0302,0.9697,False,False
HERA,261,0.2447,0.9714,False,False
HERA,262,0.3635,0.9751,False,False
HERA,263,0.4986,0.9799,False,False
HERA,264,0.6679,0.9855,False,False
HERA,265,0.8755,0.9906,False,False
HERA,266,1.0351,0.9954,False,False
HERA,267,1.2374,0.9985,False,False
HERA,268,1.3037,1.0,False,False
HERA,269,1.3997,0.999,False,False
HERA,270,1.4903,0.9956,False,False
HERA,271,1.4573,0.9897,False,False
HERA,272,1.5061,0.9833,False,False
HERA,273,1.2603,0.9788,False,False
HERA,274,1.2276,0.9807,False,False
HERA,275,0.9326,0.9776,False,False
HERA,276,0.781,0.9774,False,False
HERA,277,0.5999,0.976,False,False
HERA,278,0.5011,0.9762,False,False
HERA,279,0.4534,0.9752,False,False
HERA,280,0.5164,0.9739,False,False
HERA,281,0.6728,0.975,False,False
HERA,282,0.8199,0.9798,False,False
HERA,283,0.7865,0.984,False,False
HERA,284,0.6104,0.9879,False,False
HERA,285,0.5868,0.9935,False,False
HERA,286,0.685,0.9975,False,False
HERA,287,0.7603,0.9998,False,False
HERA,288,0.9441,0.9994,False,False
HERA,289,1.0206,0.9956,False,False
HERA,290,1.1893,0.9905,False,False
HERA,291,1.1127,0.9878,False,False
HERA,292,1.0731,0.9878,False,False
HERA,293,0.9281,0.9842,False,False
HERA,294,0.7936,0.9819,False,False
HERA,295,0.6264,0.9781,False,False
HERA,296,0.5467,0.9755,False,False
HERA,297,0.4709,0.9726,False,False
HERA,298,0.4164,0.9717,False,False
HERA,299,0.2872,0.9712,False,False
HERA,300,0.1738,0.97,False,False
HERA,301,0.2546,0.9712,False,False
HERA,302,0.2836,0.9746,False,False
HERA,303,0.4253,0.9791,False,False
HERA,304,0.5982,0.9846,False,False
HERA,305,0.8295,0.9895,False,False
HERA,306,0.9998,0.9943,False,False
HERA,307,1.2039,0.9977,False,False
HERA,308,1.311,0.9997,False,False
HERA,309,1.3703,0.9997,False,False
HERA,310,1.482,0.9976,False,False
HERA,311,1.4414,0.9932,False,False
HERA,312,1.4483,0.9879,False,False
HERA,313,1.5086,0.9813,False,False
HERA,314,1.2256,0.9766,False,False
HERA,315,1.1457,0.9789,False,False
HERA,316,0.8948,0.9763,False,False
HERA,317,0.7538,0.9779,False,False
HERA,318,0.5785,0.9771,False,False
HERA,319,0.4732,0.9776,False,False
HERA,320,0.4107,0.9768,False,False
HERA,321,0.5288,0.9791,False,False
HERA,322,0.6488,0.9841,False,False
HERA,323,0.7943,0.9901,False,False
HERA,324,0.9153,0.9948,False,False
HERA,325,0.7146,0.9969,False,False
HERA,326,0.7057,0.9994,False,False
HERA,327,0.6899,0.9998,False,False
HERA,328,0.8117,0.9982,False,False
HERA,329,0.867,0.9952,False,False
HERA,330,1.0334,0.9912,False,False
HERA,331,0.8278,0.9886,False,False
HERA,332,0.8727,0.9878,False,False
HERA,333,1.0088,0.9872,False,False
HERA,334,0.8629,0.9848,False,False
HERA,335,0.714,0.982,False,False
HERA,336,0.5504,0.9787,False,False
HERA,337,0.4412,0.9758,False,False
HERA,338,0.3805,0.9729,False,False
HERA,339,0.3589,0.9713,False,False
HERA,340,0.1827,0.972,False,False
HERA,341,0.0857,0.9731,False,False
HERA,342,0.2539,0.9776,False,False
HERA,343,0.3835,0.9822,False,False
HERA,344,0.5622,0.9871,False,False
HERA,345,0.7364,0.992,False,False
HERA,346,0.961,0.9958,False,False
