added_latency_s,method,fault_leg,trial_timestamp,success,response_time_s,response_steps,llm_calls
0,HERA,BL,20260808_033657,1,2.182,12698,9
0,HERA,BL,20260808_033732,1,2.121,12373,10
0,HERA,BL,20260808_033807,1,2.191,12800,11
0,HERA,BR,20260808_033842,1,2.13,12593,9
0,HERA,BR,20260808_033917,1,2.18,12800,9
0,HERA,BR,20260808_033952,1,2.165,12800,9
0,HERA,FL,20260808_033326,1,2.18,12189,9
0,HERA,FL,20260808_033401,1,2.165,12492,9
0,HERA,FL,20260808_033436,1,2.181,12800,9
0,HERA,FR,20260808_033511,1,2.321,13500,9
0,HERA,FR,20260808_033547,1,2.265,13383,9
0,HERA,FR,20260808_033622,1,2.27,13026,9
0,Baseline C,BL,20260808_034359,1,21.298,131726,167
0,Baseline C,BL,20260808_034434,0,,183854,3
0,Baseline C,BL,20260808_034509,0,,185000,3
0,Baseline C,BR,20260808_034544,1,23.409,144400,131
0,Baseline C,BR,20260808_034619,1,25.601,151660,90
0,Baseline C,BR,20260808_034654,1,20.659,129000,189
0,Baseline C,FL,20260808_034028,0,,186876,3
0,Baseline C,FL,20260808_034103,0,,189200,3
0,Baseline C,FL,20260808_034138,1,23.043,145800,142
0,Baseline C,FR,20260808_034213,1,29.268,176600,17
0,Baseline C,FR,20260808_034249,0,,178700,3
0,Baseline C,FR,20260808_034324,0,,185000,3
0,Baseline Fair,BL,20260808_063203,1,22.894,135505,140
0,Baseline Fair,BL,20260808_063238,1,21.562,128299,166
0,Baseline Fair,BL,20260808_063313,1,22.132,131598,156
0,Baseline Fair,BR,20260808_063349,1,20.301,123629,195
0,Baseline Fair,BR,20260808_063424,1,22.168,134039,158
0,Baseline Fair,BR,20260808_063459,1,21.053,126532,177
0,Baseline Fair,FL,20260808_062830,1,22.926,136961,140
0,Baseline Fair,FL,20260808_062906,1,21.802,130728,163
0,Baseline Fair,FL,20260808_062941,1,20.839,125499,179
0,Baseline Fair,FR,20260808_063016,1,21.728,126202,155
0,Baseline Fair,FR,20260808_063052,1,24.894,144240,100
0,Baseline Fair,FR,20260808_063127,1,23.13,137399,133
1,HERA,BL,20260808_035810,1,3.121,19253,8
1,HERA,BL,20260808_035846,1,3.088,19100,8
1,HERA,BL,20260808_035922,1,3.036,18382,8
1,HERA,BR,20260808_035958,1,3.025,18742,8
1,HERA,BR,20260808_040035,1,3.049,17738,8
1,HERA,BR,20260808_040111,1,3.145,19100,8
1,HERA,FL,20260808_035433,1,3.201,19100,7
1,HERA,FL,20260808_035509,1,3.124,18976,8
1,HERA,FL,20260808_035545,1,3.136,19100,8
1,HERA,FR,20260808_035621,1,5.749,36080,9
1,HERA,FR,20260808_035658,1,3.147,19100,9
1,HERA,FR,20260808_035734,1,3.151,19372,9
1,Baseline C,BL,20260808_040524,0,,187251,3
1,Baseline C,BL,20260808_040600,0,,183600,3
1,Baseline C,BL,20260808_040636,0,,178494,3
1,Baseline C,BR,20260808_040712,0,,184410,3
1,Baseline C,BR,20260808_040748,1,23.095,145068,139
1,Baseline C,BR,20260808_040824,1,29.623,184300,10
1,Baseline C,FL,20260808_040147,0,,186617,3
1,Baseline C,FL,20260808_040223,0,,185461,3
1,Baseline C,FL,20260808_040259,0,,187800,3
1,Baseline C,FR,20260808_040335,0,,187801,3
1,Baseline C,FR,20260808_040411,1,25.806,159653,84
1,Baseline C,FR,20260808_040448,1,28.802,180100,26
1,Baseline Fair,BL,20260808_063913,1,23.903,143244,119
1,Baseline Fair,BL,20260808_063950,1,22.526,133401,145
1,Baseline Fair,BL,20260808_064026,1,23.64,142010,126
1,Baseline Fair,BR,20260808_064103,1,23.767,144870,124
1,Baseline Fair,BR,20260808_064139,1,24.582,149489,106
1,Baseline Fair,BR,20260808_064216,1,22.996,136699,132
1,Baseline Fair,FL,20260808_063536,1,22.025,132429,155
1,Baseline Fair,FL,20260808_063612,1,20.724,121299,176
1,Baseline Fair,FL,20260808_063648,1,26.234,152440,75
1,Baseline Fair,FR,20260808_063725,1,19.726,117799,203
1,Baseline Fair,FR,20260808_063801,1,23.274,140272,132
1,Baseline Fair,FR,20260808_063837,1,23.718,143747,125
3,HERA,BL,20260808_042006,1,5.188,32324,7
3,HERA,BL,20260808_042044,1,5.114,32400,7
3,HERA,BL,20260808_042123,1,5.039,32383,7
3,HERA,BR,20260808_042201,1,5.073,32400,7
3,HERA,BR,20260808_042239,1,5.108,32400,7
3,HERA,BR,20260808_042317,1,5.112,32732,7
3,HERA,FL,20260808_041617,1,5.199,33100,7
3,HERA,FL,20260808_041655,1,5.134,32400,7
3,HERA,FL,20260808_041734,1,5.124,33077,7
3,HERA,FR,20260808_041812,1,5.195,32400,7
3,HERA,FR,20260808_041850,1,5.203,32400,7
3,HERA,FR,20260808_041928,1,5.189,32557,7
3,Baseline C,BL,20260808_042744,0,,189521,3
3,Baseline C,BL,20260808_042822,0,,188385,3
3,Baseline C,BL,20260808_042901,1,29.753,187919,8
3,Baseline C,BR,20260808_042939,0,,188728,3
3,Baseline C,BR,20260808_043017,1,28.672,176600,27
3,Baseline C,BR,20260808_043055,0,,181500,3
3,Baseline C,FL,20260808_042355,0,,186210,3
3,Baseline C,FL,20260808_042433,0,,180320,3
3,Baseline C,FL,20260808_042512,1,28.239,176276,37
3,Baseline C,FR,20260808_042550,1,26.201,163300,77
3,Baseline C,FR,20260808_042628,0,,187142,3
3,Baseline C,FR,20260808_042706,0,,186066,3
