method,fault_leg,trial_timestamp,success,response_time_s,response_steps,pre_fault_speed_ms,during_fault_speed_ms,post_recovery_speed_ms,llm_calls
HERA,BL,20260808_012937,1,2.126,12889,0.5135,0.0037,0.3256,9
HERA,BL,20260808_013012,1,2.055,12080,0.3224,0.0036,0.317,9
HERA,BL,20260808_013047,1,2.182,12396,0.3472,0.0035,0.2713,9
HERA,BR,20260808_013131,1,7.858,12401,0.2276,0.0034,0.271,8
HERA,BR,20260808_013206,1,2.139,12600,0.3224,0.0036,0.2907,9
HERA,BR,20260808_013241,1,2.213,13230,0.3224,0.0036,0.2756,9
HERA,FL,20260808_012606,1,2.395,13140,0.3224,0.0035,0.2695,9
HERA,FL,20260808_012641,1,2.187,12939,0.3224,0.0036,0.2561,9
HERA,FL,20260808_012716,1,2.116,12493,0.7951,0.0039,0.2097,9
HERA,FR,20260808_012751,1,2.139,12800,0.5685,0.0037,0.2575,9
HERA,FR,20260808_012826,1,2.213,13362,0.4294,0.004,0.2769,9
HERA,FR,20260808_012901,1,2.159,12810,0.3224,0.0036,0.3784,9
Baseline C,BL,20260808_013648,0,,180610,0.3929,0.003,,3
Baseline C,BL,20260808_013723,0,,181500,0.3224,0.003,,3
Baseline C,BL,20260808_013759,0,,181318,0.3224,0.003,,3
Baseline C,BR,20260808_013834,1,21.727,134600,0.3543,0.003,0.0031,165
Baseline C,BR,20260808_013909,1,24.695,150529,0.2276,0.003,0.0034,108
Baseline C,BR,20260808_013945,1,20.762,127600,0.3121,0.003,0.0035,184
Baseline C,FL,20260808_013316,1,19.87,121300,0.3224,0.003,0.0032,202
Baseline C,FL,20260808_013352,0,,185000,0.3543,0.003,,3
Baseline C,FL,20260808_013427,0,,186526,0.5135,0.003,,3
Baseline C,FR,20260808_013502,0,,185700,0.3224,0.003,,3
Baseline C,FR,20260808_013537,1,29.058,180085,0.3224,0.003,0.0066,20
Baseline C,FR,20260808_013613,1,26.613,160830,0.2266,0.003,0.0046,66
Baseline Fair,BL,20260808_055145,1,20.31,122699,0.3929,0.003,0.003,195
Baseline Fair,BL,20260808_055220,1,22.042,131803,0.7951,0.003,0.0032,160
Baseline Fair,BL,20260808_055255,1,21.913,132712,0.2266,0.003,0.0033,161
Baseline Fair,BR,20260808_055331,1,23.533,138799,0.3224,0.003,0.003,126
Baseline Fair,BR,20260808_055406,1,23.334,133295,0.3121,0.003,0.003,124
Baseline Fair,BR,20260808_055441,1,20.328,116914,0.7951,0.0031,0.003,182
Baseline Fair,FL,20260808_054813,1,22.514,130884,0.3121,0.003,0.003,140
Baseline Fair,FL,20260808_054848,1,23.466,134874,0.3543,0.003,0.003,128
Baseline Fair,FL,20260808_054923,1,19.656,116451,0.3224,0.003,0.003,204
Baseline Fair,FR,20260808_054959,0,,,0.2266,0.003,,4
Baseline Fair,FR,20260808_055034,1,21.548,129699,0.3929,0.003,0.003,169
Baseline Fair,FR,20260808_055109,1,22.819,136683,0.3387,0.003,0.0031,143
